Código,Departamento,Aún no había nacido,"Sí, vivía hace 5 años en este distrito",No vivía hace 5 años en este distrito
1,Amazonas,38682,306105,34597
2,Áncash,92974,905542,85003
3,Apurímac,35677,328973,41109
4,Arequipa,109771,1027473,245486
5,Ayacucho,54200,489769,72207
6,Cajamarca,123462,1139178,78372
7,Callao,78810,784441,131243
8,Cusco,101892,943411,160224
9,Huancavelica,31715,295095,20829
10,Huánuco,67728,579197,74122
11,Ica,78581,676716,95468
12,Junín,112201,980873,152964
13,Libertad,162240,1439854,175986
14,Lambayeque,107141,976781,113338
15,Lima,695343,7320908,1469154
16,Loreto,100960,706881,75669
17,Madre de Dios,14520,101225,25325
18,Moquegua,13024,141661,20178
19,Pasco,22617,208655,22793
20,Piura,179780,1512417,164612
21,Puno,89662,970909,112126
22,Martín,81317,632827,99237
23,Tacna,23824,253963,51545
24,Tumbes,21695,184216,18952
25,Ucayali,56484,379179,60796
